customer_id,first_name,last_name,email,phone,city,postcode,signup_date,source_system,loyalty_member,loyalty_id,loyalty_join_date,behaviour_segment
C0000001,Bernard,Williams,tom80@example.com,(029) 2018 0986,Trevorville,BS5B 9PN,2025-12-25,ECOM_V1,False,,,high_value
C0000002,Fiona,Phillips,graemeknight@example.com,+4420 7496 0059,New Kerry,M7 8TG,2025-04-05,ECOM_V2,False,,,one_time
C0000003,Mark,Williams,lnicholson@example.com,+44(0)1632 960186,Stewartborough,G1 0UY,2024-06-08,ECOM_V2,True,L0000003,2024-12-19,reactivated
C0000004,Arthur,Miah,ameliabaldwin@example.net,+44161 4960617,Olivermouth,PE8 8ZW,2025-08-26,ECOM_V1,False,,,inactive
C0000005,Lee,Morrison,mitchell98@example.net,(0151) 496 0247,Brownview,HU87 2PD,2024-02-08,ECOM_V1,False,,,returning
C0000006,Glen,Phillips,fpearce@example.com,(0306)9990151,Murrayborough,G1K 7YS,2024-11-07,MOBILE_APP,False,,,reactivated
C0000007,Sheila,Davies,browndamien@example.org,+44(0)909 879 0267,Abdulton,KT7M 5BL,2025-07-29,LOYALTY_CRM,False,,,inactive
C0000008,Lydia,Carr,jamesrosemary@example.org,029 2018 0974,West Jean,N3 3YR,2024-01-21,LOYALTY_CRM,True,L0000008,2024-07-10,returning
C0000009,Dorothy,Thomson,margaret47@example.com,01214960632,North Normanhaven,W68 1TU,2024-01-27,MOBILE_APP,False,,,one_time
C0000010,Bruce,Bailey,chughes@example.net,+44(0)292018670,Lake Abdul,ST6 5PG,2024-07-15,ECOM_V2,False,,,returning
C0000011,Kyle,James,christine22@example.com,+44151 496 0594,Port Valerieton,W2F 7QQ,2025-08-13,ECOM_V1,False,,,inactive
C0000012,Gavin,Lewis,joycemorris@example.org,+44(0)117 4960319,Wendyside,HD9X 4EN,2024-12-02,LOYALTY_CRM,False,,,high_value
C0000013,Sian,Lawson,brownlucy@example.com,+44(0)1414960047,North Julia,DE4R 2NB,2024-10-04,LOYALTY_CRM,True,L0000013,2025-01-30,one_time
C0000014,Tracey,Ball,dianapearson@example.org,0116 4960209,South Valerieside,CA9E 6TE,2025-04-28,MOBILE_APP,False,,,inactive
C0000015,Declan,Norton,mathew19@example.net,+441164960516,Port Martin,SA2H 4HX,2025-05-11,LOYALTY_CRM,True,L0000015,2025-07-30,returning
C0000016,Georgia,Page,lowesamantha@example.net,+4420 74960568,Port Daniel,E34 7WY,2024-03-08,POS_LEGACY,False,,,high_value
C0000017,Sylvia,Baker,norman08@example.com,(01632) 960349,Briggsberg,LD5M 9JY,2025-09-24,MOBILE_APP,True,L0000017,2025-10-12,returning
C0000018,Karen,Harrison,nashmichael@example.org,01632 960 657,North Damientown,N36 3FD,2025-11-26,LOYALTY_CRM,False,,,returning
C0000019,Christine,Walters,cheryl07@example.org,+441174960251,South Jayne,SW4P 2UD,2025-03-09,POS_LEGACY,False,,,one_time
C0000020,Liam,Curtis,kate32@example.org,(0116) 496 0269,Danielmouth,DA9 3NA,2025-12-18,MOBILE_APP,False,,,returning
C0000021,Lydia,Day,pateleileen@example.net,+441164960626,Dayshire,UB6 0PS,2025-07-05,ECOM_V1,False,,,one_time
C0000022,Keith,Harvey,susanadams@example.org,(0161)4960256,Parsonsmouth,BS02 3RT,2025-07-12,ECOM_V2,False,,,returning
C0000023,Karen,Thompson,geraldinewilliams@example.org,0115 496 0377,Martinmouth,LN3 3YJ,2024-02-24,POS_LEGACY,False,,,reactivated
C0000024,Paula,Goodwin,maureenstokes@example.com,+44121 4960187,Lake Elizabeth,TD2 0RP,2024-03-07,MOBILE_APP,True,L0000024,2024-09-29,inactive
C0000025,Christine,Marshall,ywood@example.com,01214960810,Lake Olivia,L6 2RQ,2025-05-21,ECOM_V1,False,,,returning
C0000026,Henry,Ali,donald71@example.net,0116 4960566,Lake Gavin,HG5 1XQ,2025-10-24,ECOM_V2,True,L0000026,2025-12-26,returning
C0000027,Melanie,Cook,xmyers@example.net,0909 8790265,Williamsmouth,WS4B 8EY,2025-02-14,LOYALTY_CRM,False,,,one_time
C0000028,Patricia,Weston,smithalice@example.org,0116 4960386,East Jeffrey,L3J 4GZ,2025-03-30,LOYALTY_CRM,False,,,one_time
C0000029,Katherine,Miles,conorwallis@example.org,(029) 2018193,New Marcstad,E6 1XD,2025-08-22,ECOM_V2,False,,,returning
C0000030,Stacey,Brady,nixonjoanne@example.org,+44(0)3069990670,Frostshire,GL5 5RE,2025-12-02,POS_LEGACY,False,,,returning
C0000031,Margaret,Bradshaw,ptucker@example.org,+4428 9018 0165,Lake Cameron,S9K 4TL,2025-07-21,MOBILE_APP,False,,,returning
C0000032,Heather,Burrows,jakewilliams@example.net,(028)9018210,East Clive,NW4 0HZ,2024-05-08,ECOM_V2,True,L0000032,2024-11-12,returning
C0000033,Gemma,Kennedy,megan63@example.net,(0113) 496 0431,West Fiona,M9B 8ES,2024-11-10,POS_LEGACY,False,,,inactive
C0000034,Hugh,Crawford,williamsclifford@example.org,+44(0)151 4960371,West Darrenfort,GU1 5GS,2024-01-15,ECOM_V2,True,L0000034,2024-07-16,inactive
C0000035,Rebecca,Bryan,gloverpatricia@example.org,01164960545,South John,W6S 2DA,2025-12-10,ECOM_V1,False,,,one_time
C0000036,Amy,Shaw,carl97@example.net,+44(0)121 4960998,South Joe,L2E 8FH,2025-11-27,MOBILE_APP,False,,,returning
C0000037,Declan,Powell,rhysclarke@example.org,+44909 879 0319,Maxborough,MK4 9XT,2025-04-16,ECOM_V2,False,,,inactive
C0000038,Rachel,Collins,patrick13@example.net,+44289018954,Kimberleyton,S3W 1NH,2024-01-19,ECOM_V2,False,,,inactive
C0000039,Sara,Lee,jroberts@example.net,+44(0)292018382,East Mariafort,CA21 1AS,2024-08-06,POS_LEGACY,False,,,returning
C0000040,Adrian,Hall,dianaparker@example.com,(0306)9990322,Glenstad,PL64 3GU,2024-01-01,ECOM_V2,True,L0000040,2024-11-12,returning
C0000041,Keith,Thorpe,shannonhumphreys@example.com,0151 496 0590,Kateside,DG7R 9BW,2024-08-29,ECOM_V1,False,,,returning
C0000042,Graeme,Hutchinson,kward@example.net,(0121)4960852,Smithton,N1 8DB,2025-01-02,ECOM_V2,True,L0000042,2025-08-15,high_value
C0000043,Dennis,Harris,tjames@example.net,+442074960586,Malcolmfort,L4E 4DR,2025-03-20,POS_LEGACY,False,,,returning
C0000044,Damian,Thomas,carol50@example.net,(0141) 496 0960,Burtonstad,W18 8ES,2025-02-16,POS_LEGACY,False,,,inactive
C0000045,Susan,Bryan,fsmith@example.net,+44(0)1174960550,Katieberg,L9S 6JL,2025-10-21,LOYALTY_CRM,False,,,returning
C0000046,Eleanor,O'Connor,catherinejones@example.net,+44(0)20 7496 0754,Barkerburgh,E5B 1TA,2025-06-09,MOBILE_APP,True,L0000046,2025-06-19,inactive
C0000047,Marion,Williams,peterjames@example.org,01174960095,South Annebury,L3 3FF,2025-08-09,ECOM_V2,False,,,returning
C0000048,Christopher,Lewis,mpatel@example.net,(0909)8790381,Daviesstad,FK8 6UN,2025-11-28,LOYALTY_CRM,False,,,one_time
C0000049,Guy,Davis,hughwalker@example.com,(0131) 4960229,Jamesbury,CF0 5FG,2024-03-02,LOYALTY_CRM,False,,,reactivated
C0000050,Duncan,Watson,kevinwheeler@example.com,+44292018030,Hardingmouth,CA17 2SB,2024-02-05,ECOM_V1,False,,,inactive
C0000051,Ashleigh,Thompson,astevens@example.org,0151 496 0425,Milesland,N34 6TN,2025-12-07,LOYALTY_CRM,True,L0000051,2025-12-10,one_time
C0000052,Joanna,Patel,jean67@example.com,029 2018 0148,South Ruth,SA3 0NQ,2025-05-20,LOYALTY_CRM,True,L0000052,2025-12-07,one_time
