source_record_id,address_id,customer_id,address_type,address_line_1,address_line_2,city,state_region,postal_code,country_code,is_primary,created_at,updated_at
SRC_ADDRESS_B001_000000001,A00000001,C0000001,HOME,211 Park Avenue,,Birmingham,West Midlands,LS12 6AB,GB,Y,2025-08-22 09:47:43,2025-10-07 09:47:43
SRC_ADDRESS_B001_000000002,A00000002,C0000001,SHIPPING,286 King Street,,Sheffield,South Yorkshire,G50 5AA,GB,N,2025-08-24 09:47:43,2025-08-26 09:47:43
SRC_ADDRESS_B001_000000003,A00000003,C0000002,HOME,231 King Street,Flat 13,Liverpool,Merseyside,CF80 1AB,GB,Y,2023-04-01 09:11:49,2023-05-28 09:11:49
SRC_ADDRESS_B001_000000004,A00000004,C0000002,SHIPPING,74 Green Lane,Flat 12,York,North Yorkshire,B63 8PR,GB,N,2023-04-15 09:11:49,2023-04-28 09:11:49
SRC_ADDRESS_B001_000000005,A00000005,C0000003,HOME,43 High Street,,Liverpool,Merseyside,LS12 1AA,GB,Y,2023-07-16 00:55:15,2023-10-11 00:55:15
SRC_ADDRESS_B001_000000006,A00000006,C0000004,HOME,382 Park Avenue,,Leeds,West Yorkshire,LS10 5BD,GB,Y,2025-04-30 00:53:00,2025-07-10 00:53:00
SRC_ADDRESS_B001_000000007,A00000007,C0000005,HOME,244 Victoria Road,,Sheffield,South Yorkshire,G62 7AB,GB,Y,2023-09-27 12:05:32,2023-10-11 12:05:32
SRC_ADDRESS_B001_000000008,A00000008,C0000006,HOME,203 Victoria Road,,Leeds,West Yorkshire,EH94 1GH,GB,Y,2025-06-02 12:31:40,2025-08-25 12:31:40
SRC_ADDRESS_B001_000000009,A00000009,C0000007,HOME,151 Market Street,,Edinburgh,Scotland,S36 8EF,GB,Y,2024-11-20 19:16:48,2024-11-25 19:16:48
SRC_ADDRESS_B001_000000010,A00000010,C0000007,SHIPPING,68 King Street,,Leeds,West Yorkshire,G94 2BD,GB,N,2024-11-26 19:16:48,2025-01-30 19:16:48
