source_record_id,customer_id,first_name,last_name,email,phone,date_of_birth,loyalty_status,marketing_opt_in,created_at,updated_at
SRC_CUSTOMER_B002_000000001,C0045922,Rita,Griffiths,rita.griffiths.45922@retailverse.example,+44 7862188021,1969-04-27,BRONZE,N,2025-04-11 20:54:19,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000002,C0002370,Jean,Taylor,jean.taylor.2370@retailverse.example,+44 7418455764,1945-12-23,SILVER,N,2026-06-20 16:38:44,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000003,C0043450,Teresa,Jones,teresa.jones.43450@retailverse.example,+44 7187468469,1965-02-09,BRONZE,N,2024-09-10 13:51:35,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000004,C0040750,Michael,Nash,michael.nash.40750@retailverse.example,+44 7579287246,1980-04-12,SILVER,Y,2023-06-30 15:29:18,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000005,C0036049,Sheila,Higgins,sheila.higgins.36049@retailverse.example,+44 7834470011,1997-09-02,SILVER,N,2023-04-27 16:21:02,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000006,C0014610,Leah,Wilkinson,leah.wilkinson.14610@retailverse.example,+44 7614940538,1995-11-13,SILVER,Y,2024-03-25 00:33:19,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000007,C0042128,Gregory,Smith,gregory.smith.42128@retailverse.example,+44 7375175507,1990-08-16,BRONZE,N,2026-05-10 05:26:24,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000008,C0002581,Jayne,Ellis,jayne.ellis.2581@retailverse.example,+44 7876714647,1953-12-02,GOLD,Y,2023-01-17 10:33:15,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000009,C0001511,Sarah,Baker,sarah.baker.1511@retailverse.example,+44 7915255604,1998-02-21,BRONZE,Y,2026-04-13 10:30:56,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000010,C0024147,Jayne,Johnson,jayne.johnson.24147@retailverse.example,+44 7697015725,1985-06-14,GOLD,Y,2023-01-06 06:59:30,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000011,C0045206,Grace,Bradshaw,grace.bradshaw.45206@retailverse.example,+44 7898917137,1967-09-18,BRONZE,Y,2026-04-03 08:03:56,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000012,C0040844,Anna,O'Connor,anna.o'connor.40844@retailverse.example,+44 7269041910,1974-05-27,GOLD,N,2024-12-27 01:17:26,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000013,C0049462,Eleanor,Smith,eleanor.smith.49462@retailverse.example,+44 7979180310,1996-03-18,GOLD,N,2023-09-17 19:42:31,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000014,C0044402,Ian,Barry,ian.barry.44402@retailverse.example,+44 7293056024,1954-02-21,BRONZE,Y,2025-12-11 11:00:00,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000015,C0026024,Kirsty,Smith,kirsty.smith.26024@retailverse.example,+44 7091535455,1986-11-15,BRONZE,Y,2025-09-15 13:31:34,2026-09-01 00:00:00
SRC_CUSTOMER_B002_000000016,C0023180,Jasmine,Bolton,jasmine.bolton.23180@retailverse.example,+44 7618664980,1970-01-02,GOLD,N,2024-06-23 16:50:42,2026-09-01 00:00:00
